bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1929559,3222663,text,209793,text/html,Amended,https://legiscan.com/HI/text/SB1044/id/3222663,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1044_CD1_.HTM
1929488,3067371,text,52857,text/html,Introduced,https://legiscan.com/HI/text/SB1045/id/3067371,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1045_.HTM
1929775,3067093,text,34903,text/html,Introduced,https://legiscan.com/HI/text/SB1046/id/3067093,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1046_.HTM
1929775,3145031,text,33743,text/html,Amended,https://legiscan.com/HI/text/SB1046/id/3145031,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1046_SD1_.HTM
1929620,3066960,text,11059,text/html,Introduced,https://legiscan.com/HI/text/SB1047/id/3066960,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1047_.HTM
1929672,3067005,text,45204,text/html,Introduced,https://legiscan.com/HI/text/SB1048/id/3067005,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1048_.HTM
1929672,3120016,text,33498,text/html,Amended,https://legiscan.com/HI/text/SB1048/id/3120016,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1048_SD1_.HTM
1929672,3139253,text,32531,text/html,Amended,https://legiscan.com/HI/text/SB1048/id/3139253,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1048_SD2_.HTM
1929672,3184200,text,86004,text/html,Amended,https://legiscan.com/HI/text/SB1048/id/3184200,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1048_HD1_.HTM
1929672,3202896,text,86012,text/html,Amended,https://legiscan.com/HI/text/SB1048/id/3202896,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1048_HD2_.HTM
1929672,3222564,text,86158,text/html,Amended,https://legiscan.com/HI/text/SB1048/id/3222564,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1048_CD1_.HTM
1929662,3066996,text,38293,text/html,Introduced,https://legiscan.com/HI/text/SB1049/id/3066996,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1049_.HTM
1929665,3066999,text,19151,text/html,Introduced,https://legiscan.com/HI/text/SB1050/id/3066999,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1050_.HTM
1929665,3147125,text,18554,text/html,Amended,https://legiscan.com/HI/text/SB1050/id/3147125,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1050_SD1_.HTM
1929792,3067109,text,12054,text/html,Introduced,https://legiscan.com/HI/text/SB1051/id/3067109,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1051_.HTM
1929792,3139715,text,10283,text/html,Amended,https://legiscan.com/HI/text/SB1051/id/3139715,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1051_SD1_.HTM
1929792,3172429,text,10189,text/html,Amended,https://legiscan.com/HI/text/SB1051/id/3172429,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1051_HD1_.HTM
1929792,3222182,text,10230,text/html,Amended,https://legiscan.com/HI/text/SB1051/id/3222182,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1051_CD1_.HTM
1929729,3067054,text,14501,text/html,Introduced,https://legiscan.com/HI/text/SB1052/id/3067054,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1052_.HTM
1929733,3067058,text,26271,text/html,Introduced,https://legiscan.com/HI/text/SB1053/id/3067058,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1053_.HTM
1929651,3066986,text,71211,text/html,Introduced,https://legiscan.com/HI/text/SB1054/id/3066986,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1054_.HTM
1929811,3067126,text,17793,text/html,Introduced,https://legiscan.com/HI/text/SB1055/id/3067126,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1055_.HTM
1929584,3066929,text,17567,text/html,Introduced,https://legiscan.com/HI/text/SB1056/id/3066929,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1056_.HTM
1929678,3067010,text,16070,text/html,Introduced,https://legiscan.com/HI/text/SB1057/id/3067010,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1057_.HTM
1929678,3114359,text,13932,text/html,Amended,https://legiscan.com/HI/text/SB1057/id/3114359,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1057_SD1_.HTM
1929678,3149038,text,15056,text/html,Amended,https://legiscan.com/HI/text/SB1057/id/3149038,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1057_SD2_.HTM
1929576,3066922,text,13912,text/html,Introduced,https://legiscan.com/HI/text/SB1058/id/3066922,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1058_.HTM
1929630,3066969,text,11375,text/html,Introduced,https://legiscan.com/HI/text/SB1059/id/3066969,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1059_.HTM
1929688,3067019,text,11882,text/html,Introduced,https://legiscan.com/HI/text/SB1060/id/3067019,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1060_.HTM
1929624,3066963,text,12567,text/html,Introduced,https://legiscan.com/HI/text/SB1061/id/3066963,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1061_.HTM
1929624,3119415,text,11154,text/html,Amended,https://legiscan.com/HI/text/SB1061/id/3119415,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1061_SD1_.HTM
1929735,3067059,text,24867,text/html,Introduced,https://legiscan.com/HI/text/SB1062/id/3067059,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1062_.HTM
1929814,3067129,text,12474,text/html,Introduced,https://legiscan.com/HI/text/SB1063/id/3067129,https://www.capitol.hawaii.gov/sessions/session2025/bills/SB1063_.HTM
