bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1991521,3153125,text,18348,application/pdf,Introduced,https://legiscan.com/KY/text/SR129/id/3153125,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr129/orig_bill.pdf
1991465,3153066,text,18311,application/pdf,Introduced,https://legiscan.com/KY/text/SR130/id/3153066,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr130/orig_bill.pdf
1991457,3153058,text,18276,application/pdf,Introduced,https://legiscan.com/KY/text/SR132/id/3153058,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr132/orig_bill.pdf
1991534,3153138,text,18233,application/pdf,Introduced,https://legiscan.com/KY/text/SR133/id/3153138,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr133/orig_bill.pdf
1991524,3153128,text,18318,application/pdf,Introduced,https://legiscan.com/KY/text/SR134/id/3153128,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr134/orig_bill.pdf
1991529,3153133,text,18196,application/pdf,Introduced,https://legiscan.com/KY/text/SR135/id/3153133,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr135/orig_bill.pdf
1992978,3155526,text,21491,application/pdf,Introduced,https://legiscan.com/KY/text/SR136/id/3155526,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr136/orig_bill.pdf
1992984,3155532,text,77903,application/pdf,Introduced,https://legiscan.com/KY/text/SR138/id/3155532,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr138/orig_bill.pdf
1992980,3155528,text,21413,application/pdf,Introduced,https://legiscan.com/KY/text/SR139/id/3155528,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr139/orig_bill.pdf
1992988,3155536,text,23110,application/pdf,Introduced,https://legiscan.com/KY/text/SR140/id/3155536,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr140/orig_bill.pdf
1994213,3157541,text,21768,application/pdf,Introduced,https://legiscan.com/KY/text/SR141/id/3157541,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr141/orig_bill.pdf
1994241,3157575,text,18254,application/pdf,Introduced,https://legiscan.com/KY/text/SR144/id/3157575,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr144/orig_bill.pdf
1994279,3157619,text,18130,application/pdf,Introduced,https://legiscan.com/KY/text/SR145/id/3157619,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr145/orig_bill.pdf
1994298,3157639,text,18244,application/pdf,Introduced,https://legiscan.com/KY/text/SR146/id/3157639,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr146/orig_bill.pdf
1994251,3157588,text,18247,application/pdf,Introduced,https://legiscan.com/KY/text/SR148/id/3157588,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr148/orig_bill.pdf
1994269,3157608,text,18230,application/pdf,Introduced,https://legiscan.com/KY/text/SR149/id/3157608,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr149/orig_bill.pdf
1994307,3157651,text,21528,application/pdf,Introduced,https://legiscan.com/KY/text/SR150/id/3157651,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr150/orig_bill.pdf
1994317,3157665,text,18224,application/pdf,Introduced,https://legiscan.com/KY/text/SR151/id/3157665,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr151/orig_bill.pdf
1994194,3157521,text,18150,application/pdf,Introduced,https://legiscan.com/KY/text/SR152/id/3157521,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr152/orig_bill.pdf
1994232,3157563,text,18595,application/pdf,Introduced,https://legiscan.com/KY/text/SR153/id/3157563,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr153/orig_bill.pdf
1995289,3159468,text,22333,application/pdf,Introduced,https://legiscan.com/KY/text/SR155/id/3159468,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr155/orig_bill.pdf
1995413,3159577,text,19078,application/pdf,Introduced,https://legiscan.com/KY/text/SR156/id/3159577,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr156/orig_bill.pdf
1995456,3159618,text,21265,application/pdf,Introduced,https://legiscan.com/KY/text/SR157/id/3159618,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr157/orig_bill.pdf
1995248,3159431,text,20310,application/pdf,Introduced,https://legiscan.com/KY/text/SR158/id/3159431,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr158/orig_bill.pdf
2000323,3166116,text,21055,application/pdf,Introduced,https://legiscan.com/KY/text/SR159/id/3166116,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr159/orig_bill.pdf
2000311,3166103,text,83940,application/pdf,Introduced,https://legiscan.com/KY/text/SR160/id/3166103,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr160/orig_bill.pdf
2000305,3166097,text,25227,application/pdf,Introduced,https://legiscan.com/KY/text/SR161/id/3166097,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr161/orig_bill.pdf
2000280,3166070,text,20812,application/pdf,Introduced,https://legiscan.com/KY/text/SR162/id/3166070,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr162/orig_bill.pdf
2000286,3166076,text,79912,application/pdf,Introduced,https://legiscan.com/KY/text/SR163/id/3166076,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr163/orig_bill.pdf
2000317,3166110,text,82710,application/pdf,Introduced,https://legiscan.com/KY/text/SR164/id/3166110,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr164/orig_bill.pdf
2000298,3166089,text,19343,application/pdf,Introduced,https://legiscan.com/KY/text/SR165/id/3166089,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr165/orig_bill.pdf
2000274,3166064,text,20961,application/pdf,Introduced,https://legiscan.com/KY/text/SR166/id/3166064,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr166/orig_bill.pdf
2000292,3166083,text,20455,application/pdf,Introduced,https://legiscan.com/KY/text/SR167/id/3166083,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr167/orig_bill.pdf
2000328,3166121,text,18204,application/pdf,Introduced,https://legiscan.com/KY/text/SR168/id/3166121,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr168/orig_bill.pdf
2005529,3172345,text,18252,application/pdf,Introduced,https://legiscan.com/KY/text/SR169/id/3172345,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr169/orig_bill.pdf
2005505,3172320,text,18200,application/pdf,Introduced,https://legiscan.com/KY/text/SR170/id/3172320,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr170/orig_bill.pdf
2005515,3172331,text,18172,application/pdf,Introduced,https://legiscan.com/KY/text/SR171/id/3172331,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr171/orig_bill.pdf
2005534,3172350,text,18289,application/pdf,Introduced,https://legiscan.com/KY/text/SR172/id/3172350,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr172/orig_bill.pdf
2005521,3172337,text,18344,application/pdf,Introduced,https://legiscan.com/KY/text/SR173/id/3172337,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr173/orig_bill.pdf
2005509,3172325,text,18326,application/pdf,Introduced,https://legiscan.com/KY/text/SR174/id/3172325,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr174/orig_bill.pdf
2005488,3172303,text,18210,application/pdf,Introduced,https://legiscan.com/KY/text/SR175/id/3172303,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr175/orig_bill.pdf
2005526,3172342,text,18189,application/pdf,Introduced,https://legiscan.com/KY/text/SR176/id/3172342,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr176/orig_bill.pdf
2005533,3172349,text,18585,application/pdf,Introduced,https://legiscan.com/KY/text/SR177/id/3172349,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr177/orig_bill.pdf
2005516,3172332,text,18272,application/pdf,Introduced,https://legiscan.com/KY/text/SR178/id/3172332,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr178/orig_bill.pdf
2005523,3172339,text,18223,application/pdf,Introduced,https://legiscan.com/KY/text/SR179/id/3172339,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr179/orig_bill.pdf
2005494,3172309,text,18239,application/pdf,Introduced,https://legiscan.com/KY/text/SR180/id/3172309,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr180/orig_bill.pdf
2005528,3172344,text,18278,application/pdf,Introduced,https://legiscan.com/KY/text/SR181/id/3172344,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr181/orig_bill.pdf
2005500,3172315,text,18235,application/pdf,Introduced,https://legiscan.com/KY/text/SR182/id/3172315,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr182/orig_bill.pdf
2005504,3172319,text,18295,application/pdf,Introduced,https://legiscan.com/KY/text/SR183/id/3172319,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr183/orig_bill.pdf
2005508,3172323,text,18286,application/pdf,Introduced,https://legiscan.com/KY/text/SR184/id/3172323,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr184/orig_bill.pdf
2005517,3172333,text,18288,application/pdf,Introduced,https://legiscan.com/KY/text/SR185/id/3172333,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr185/orig_bill.pdf
2005498,3172313,text,18220,application/pdf,Introduced,https://legiscan.com/KY/text/SR186/id/3172313,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr186/orig_bill.pdf
2005540,3172358,text,18221,application/pdf,Introduced,https://legiscan.com/KY/text/SR187/id/3172358,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr187/orig_bill.pdf
2005544,3172362,text,18451,application/pdf,Introduced,https://legiscan.com/KY/text/SR188/id/3172362,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr188/orig_bill.pdf
2005531,3172347,text,18167,application/pdf,Introduced,https://legiscan.com/KY/text/SR189/id/3172347,https://apps.legislature.ky.gov/recorddocuments/bill/25RS/sr189/orig_bill.pdf
