bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1972669,2162,SCR4,4,Passed,2025-03-13,"To Recognize Former Representative And Senator Joyce Elliott During Black History Month For Her Service To The State Of Arkansas.","To Recognize Former Representative And Senator Joyce Elliott During Black History Month For Her Service To The State Of Arkansas.",0,,2025-03-18,"Approved by the Governor.",https://legiscan.com/AR/bill/SCR4/2025,https://arkleg.state.ar.us/Bills/Detail?id=scr4&ddBienniumSession=2025%2F2025R
1985098,2162,SCR5,4,Passed,2025-04-16,"To Continue To Encourage The Pursuit Of National Cancer Institute Designation By The Winthrop P. Rockefeller Cancer Institute At The University Of Arkansas For Medical Sciences.","To Continue To Encourage The Pursuit Of National Cancer Institute Designation By The Winthrop P. Rockefeller Cancer Institute At The University Of Arkansas For Medical Sciences.",0,,2025-04-22,"Approved by the Governor.",https://legiscan.com/AR/bill/SCR5/2025,https://arkleg.state.ar.us/Bills/Detail?id=scr5&ddBienniumSession=2025%2F2025R
2009407,2162,SCR6,4,Passed,2025-04-04,"To Recognize The North Little Rock High School Charging Wildcats Varsity Cheer Team For Winning The Class 6a State Championship.","To Recognize The North Little Rock High School Charging Wildcats Varsity Cheer Team For Winning The Class 6a State Championship.",0,,2025-04-10,"Approved by the Governor.",https://legiscan.com/AR/bill/SCR6/2025,https://arkleg.state.ar.us/Bills/Detail?id=scr6&ddBienniumSession=2025%2F2025R
2011718,2162,SCR7,6,Failed,2025-05-05,"To Recognize The Mills University Studies High School Comets Boys&#x27; Basketball Team As The Class 4a State Champions.","To Recognize The Mills University Studies High School Comets Boys&#x27; Basketball Team As The Class 4a State Champions.",0,,2025-05-05,"Died in House at Sine Die adjournment.",https://legiscan.com/AR/bill/SCR7/2025,https://arkleg.state.ar.us/Bills/Detail?id=scr7&ddBienniumSession=2025%2F2025R
2011897,2162,SCR8,6,Failed,2025-05-05,"To Recognize The Mills University Studies High School Lady Comets Basketball Team As The Class 4a Conference Champions And To Remember Head Coach Joe Gregory&#x27;s Wife, Cynthia Gregory.","To Recognize The Mills University Studies High School Lady Comets Basketball Team As The Class 4a Conference Champions And To Remember Head Coach Joe Gregory&#x27;s Wife, Cynthia Gregory.",0,,2025-05-05,"Died in House at Sine Die adjournment.",https://legiscan.com/AR/bill/SCR8/2025,https://arkleg.state.ar.us/Bills/Detail?id=scr8&ddBienniumSession=2025%2F2025R
1892687,2162,SJR1,6,Failed,2025-05-05,"An Amendment To The Arkansas Constitution To Require A Vote Of Three-fourths Of Each House Of The General Assembly To Enact, Amend, Or Repeal Laws Concerning Access To Public Records Or Access To Public Meetings. ","An Amendment To The Arkansas Constitution To Require A Vote Of Three-fourths Of Each House Of The General Assembly To Enact, Amend, Or Repeal Laws Concerning Access To Public Records Or Access To Public Meetings. ",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR1/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr1&ddBienniumSession=2025%2F2025R
1892646,2162,SJR2,6,Failed,2025-05-05,"A Constitutional Amendment To Create The Arkansas Apportionment Commission To Apportion Districts For The House Of Representatives, The Senate, And The United States House Of Representatives.","A Constitutional Amendment To Create The Arkansas Apportionment Commission To Apportion Districts For The House Of Representatives, The Senate, And The United States House Of Representatives.",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR2/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr2&ddBienniumSession=2025%2F2025R
1926900,2162,SJR3,6,Failed,2025-05-05,"A Constitutional Amendment Concerning The Membership Of The State Highway Commission. ","A Constitutional Amendment Concerning The Membership Of The State Highway Commission. ",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR3/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr3&ddBienniumSession=2025%2F2025R
1931092,2162,SJR4,6,Failed,2025-05-05,"An Amendment To The Arkansas Constitution To Provide That The Annual School Election Shall Not Be Held If The Proposed Rate Of Tax Levy Is The Same As Last Approved And No Other Matters Are To Be Decided. ","An Amendment To The Arkansas Constitution To Provide That The Annual School Election Shall Not Be Held If The Proposed Rate Of Tax Levy Is The Same As Last Approved And No Other Matters Are To Be Decided. ",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR4/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr4&ddBienniumSession=2025%2F2025R
1934882,2162,SJR5,6,Failed,2025-05-05,"An Amendment To The Arkansas Constitution To Repeal The Office Of Lieutenant Governor.","An Amendment To The Arkansas Constitution To Repeal The Office Of Lieutenant Governor.",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR5/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr5&ddBienniumSession=2025%2F2025R
1948067,2162,SJR6,6,Failed,2025-05-05,"A Constitutional Amendment To Provide That Certain Proceeds From The Sale Of Medical Marijuana And Casino Gaming Shall Be Used For Crime Reduction And Prevention Programs And Assistance For Post-release Supervision Services.","A Constitutional Amendment To Provide That Certain Proceeds From The Sale Of Medical Marijuana And Casino Gaming Shall Be Used For Crime Reduction And Prevention Programs And Assistance For Post-release Supervision Services.",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR6/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr6&ddBienniumSession=2025%2F2025R
1947861,2162,SJR7,6,Failed,2025-05-05,"An Amendment To The Arkansas Constitution To Amend Arkansas Constitution, Amendment 98, Concerning Medical Marijuana. ","An Amendment To The Arkansas Constitution To Amend Arkansas Constitution, Amendment 98, Concerning Medical Marijuana. ",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR7/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr7&ddBienniumSession=2025%2F2025R
1947812,2162,SJR8,6,Failed,2025-05-05,"An Amendment To The Arkansas Constitution To Amend Arkansas Constitution, Amendment 100, Concerning Casino Gaming. ","An Amendment To The Arkansas Constitution To Amend Arkansas Constitution, Amendment 100, Concerning Casino Gaming. ",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR8/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr8&ddBienniumSession=2025%2F2025R
1951848,2162,SJR9,6,Failed,2025-05-05,"A Constitutional Amendment Permitting The State Of Arkansas To Be Sued As A Defendant In State Court To Enforce Constitutional Rights Or As Otherwise Provided By Law. ","A Constitutional Amendment Permitting The State Of Arkansas To Be Sued As A Defendant In State Court To Enforce Constitutional Rights Or As Otherwise Provided By Law. ",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SJR9/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr9&ddBienniumSession=2025%2F2025R
1956199,2162,SJR10,1,Introduced,2025-02-05,"A Constitution Amendment Concerning Efficiency In Government; And To Provide For The Creation Of The Department Of Government Efficiency. ","A Constitution Amendment Concerning Efficiency In Government; And To Provide For The Creation Of The Department Of Government Efficiency. ",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SJR10/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr10&ddBienniumSession=2025%2F2025R
1958078,2162,SJR11,4,Passed,2025-04-16,"A Constitutional Amendment To Amend Arkansas Constitution, Article 2, &#xa7; 5, To Protect The Right To Keep And Bear Arms.","A Constitutional Amendment To Amend Arkansas Constitution, Article 2, &#xa7; 5, To Protect The Right To Keep And Bear Arms.",0,,2025-04-22,"Approved by the Governor.",https://legiscan.com/AR/bill/SJR11/2025,https://arkleg.state.ar.us/Bills/Detail?id=sjr11&ddBienniumSession=2025%2F2025R
