bill_id,people_id,position
1895185,26248,8
1895185,26249,6
1895185,26253,5
1895186,11216,1
1895186,15975,2
1895187,2295,1
1895188,2226,2
1895188,19929,1
1895189,11219,2
1895189,17959,1
1895189,23392,3
1895189,26245,4
1895190,2295,1
1895191,2321,6
1895191,11216,8
1895191,11219,9
1895191,15975,7
1895191,17959,11
1895191,18092,1
1895191,18214,13
1895191,19930,2
1895191,21398,14
1895191,21747,5
1895191,22359,4
1895191,23302,16
1895191,23303,12
1895191,23373,15
1895191,23376,3
1895191,26247,17
1895191,26272,10
1895192,2235,4
1895192,11219,8
1895192,14187,3
1895192,19645,1
1895192,21669,2
1895192,23300,7
1895192,23302,9
1895192,23304,5
1895192,23308,6
1895192,24306,10
1895193,2280,1
1895193,11219,3
1895193,14301,6
1895193,16328,9
1895193,17959,12
1895193,21747,11
1895193,23302,2
1895193,23376,10
1895193,23392,4
1895193,24124,7
1895193,24188,5
1895193,24306,8
1895194,2240,1
1895195,2295,1
1895196,2295,1
1895196,26250,2
1895197,2295,1
1895198,19936,1
1895198,25192,2
1895199,21741,1
1895199,25192,2
1895200,2240,1
1895201,18092,2
1895201,20147,1
1895202,11216,1
1895202,18092,2
1895202,23298,3
1895202,26247,4
1895203,2308,1
1895204,16323,1
1895205,16323,1
1895206,2295,1
1895207,11216,2
1895207,11219,1
1895207,18214,3
1895208,11219,1
1895209,2240,1
1895209,25192,2
1895210,2226,4
1895210,2232,1
1895210,19929,2
1895210,26250,3
1895211,2241,13
1895211,10949,8
1895211,11216,6
1895211,11219,2
1895211,16332,9
1895211,18093,12
1895211,19929,4
1895211,19932,11
1895211,21436,1
1895211,23303,10
1895211,24188,5
1895211,25192,3
1895211,26245,7
1895212,15975,1
1895213,11216,3
1895213,11219,2
1895213,24305,1
1895214,11219,3
1895214,19645,2
1895214,23300,1
1895214,26255,4
1895215,2295,1
1895216,2226,6
1895216,11219,2
1895216,14301,5
1895216,18092,4
1895216,23150,1
1895216,24188,3
1895217,11219,1
1895217,19930,2
1895218,2320,1
1895218,25192,2
1895219,21745,1
1895220,11219,1
1895220,18092,5
1895220,19930,2
1895220,23302,3
1895220,23392,4
1895221,21747,1
1895222,2295,1
1895222,19496,2
1895223,11216,1
1895223,18089,3
1895223,23392,2
1895224,16323,1
1895224,23298,2
1895225,2295,1
1895225,25192,2
1895226,2320,1
1895227,2209,2
1895227,2302,3
1895227,11219,9
1895227,14301,10
1895227,18090,5
1895227,18094,4
1895227,18214,6
1895227,18654,1
1895227,19645,7
1895227,23303,8
1895228,2209,1
1895228,2235,4
1895228,2264,11
1895228,2295,2
1895228,2316,5
1895228,10949,10
1895228,17959,6
1895228,18654,3
1895228,23303,7
1895228,24188,9
1895228,25192,8
1895229,15975,1
1895229,18091,2
1895229,18092,3
1895229,18214,7
1895229,21398,8
1895229,23298,4
1895229,23302,11
1895229,23303,5
1895229,23373,9
1895229,26247,12
1895229,26253,10
1895229,26272,6
1895230,2295,1
1895231,2226,5
1895231,2264,1
1895231,19929,3
1895231,25192,2
1895231,26250,4
1895232,2320,1
1895232,24188,2
1895233,11216,2
1895233,23298,1
1895233,26247,3
1895234,11216,3
1895234,14298,6
1895234,18091,2
1895234,23298,4
1895234,23300,1
1895234,26247,5
1895235,11216,1
1895235,17959,5
1895235,18089,3
1895235,18092,2
1895235,21747,4
1895235,23297,7
1895235,26252,6
1895236,2250,2
1895236,2321,8
1895236,15975,7
1895236,16332,3
1895236,20147,5
1895236,21398,1
1895236,21436,6
1895236,24306,4
1895237,21744,1
1895238,2295,1
1895239,20147,1
1895240,2226,1
1895241,11219,3
1895241,19645,2
1895241,23300,1
1895242,21747,1
1895243,11219,2
1895243,14300,4
1895243,19645,1
1895243,24303,5
1895243,25192,3
1895244,14301,1
1895245,21745,1
1895245,26250,2
1895246,16323,1
1895247,2280,1
1895247,17959,6
1895247,21747,5
1895247,23302,2
1895247,23392,3
1895247,24188,4
1895248,21744,1
1895249,11219,4
1895249,21744,1
1895249,23302,2
1895249,23303,3
1895250,21398,1
1895251,2226,3
1895251,11219,2
1895251,19929,1
1895252,2295,1
1895253,11219,1
1895253,14301,3
1895253,19645,2
1895254,19929,1
1895255,19933,1
1895255,24188,3
1895255,25192,2
1895255,26250,4
1895256,10954,8
1895256,11216,7
1895256,11219,5
1895256,15975,18
1895256,17959,10
1895256,18089,9
1895256,18091,19
1895256,18092,6
1895256,18214,14
