bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2027542,3225459,text,9914,text/html,Introduced,https://legiscan.com/SC/text/H4448/id/3225459,https://www.scstatehouse.gov/sess126_2025-2026/prever/4448_20250430.htm
2027555,3225471,text,10060,text/html,Introduced,https://legiscan.com/SC/text/H4449/id/3225471,https://www.scstatehouse.gov/sess126_2025-2026/prever/4449_20250430.htm
2027490,3225406,text,8777,text/html,Introduced,https://legiscan.com/SC/text/H4450/id/3225406,https://www.scstatehouse.gov/sess126_2025-2026/prever/4450_20250430.htm
2027523,3225438,text,9849,text/html,Introduced,https://legiscan.com/SC/text/H4451/id/3225438,https://www.scstatehouse.gov/sess126_2025-2026/prever/4451_20250430.htm
2027567,3225484,text,8984,text/html,Introduced,https://legiscan.com/SC/text/H4452/id/3225484,https://www.scstatehouse.gov/sess126_2025-2026/prever/4452_20250430.htm
2027525,3225440,text,9605,text/html,Introduced,https://legiscan.com/SC/text/H4453/id/3225440,https://www.scstatehouse.gov/sess126_2025-2026/prever/4453_20250430.htm
2027553,3225469,text,8679,text/html,Introduced,https://legiscan.com/SC/text/H4454/id/3225469,https://www.scstatehouse.gov/sess126_2025-2026/prever/4454_20250430.htm
2027521,3225437,text,8354,text/html,Introduced,https://legiscan.com/SC/text/H4455/id/3225437,https://www.scstatehouse.gov/sess126_2025-2026/prever/4455_20250430.htm
2027557,3225473,text,7889,text/html,Introduced,https://legiscan.com/SC/text/H4456/id/3225473,https://www.scstatehouse.gov/sess126_2025-2026/prever/4456_20250430.htm
2028055,3227198,text,9784,text/html,Introduced,https://legiscan.com/SC/text/H4469/id/3227198,https://www.scstatehouse.gov/sess126_2025-2026/prever/4469_20250501.htm
2028052,3227196,text,9213,text/html,Introduced,https://legiscan.com/SC/text/H4470/id/3227196,https://www.scstatehouse.gov/sess126_2025-2026/prever/4470_20250501.htm
2028059,3227202,text,7813,text/html,Introduced,https://legiscan.com/SC/text/H4471/id/3227202,https://www.scstatehouse.gov/sess126_2025-2026/prever/4471_20250501.htm
2028041,3227187,text,9832,text/html,Introduced,https://legiscan.com/SC/text/H4472/id/3227187,https://www.scstatehouse.gov/sess126_2025-2026/prever/4472_20250501.htm
2028044,3227190,text,8905,text/html,Introduced,https://legiscan.com/SC/text/H4473/id/3227190,https://www.scstatehouse.gov/sess126_2025-2026/prever/4473_20250501.htm
2028013,3227161,text,9451,text/html,Introduced,https://legiscan.com/SC/text/H4479/id/3227161,https://www.scstatehouse.gov/sess126_2025-2026/prever/4479_20250501.htm
2028048,3227193,text,9111,text/html,Introduced,https://legiscan.com/SC/text/H4480/id/3227193,https://www.scstatehouse.gov/sess126_2025-2026/prever/4480_20250501.htm
2028016,3227164,text,8987,text/html,Introduced,https://legiscan.com/SC/text/H4481/id/3227164,https://www.scstatehouse.gov/sess126_2025-2026/prever/4481_20250501.htm
2028025,3227170,text,9464,text/html,Introduced,https://legiscan.com/SC/text/H4482/id/3227170,https://www.scstatehouse.gov/sess126_2025-2026/prever/4482_20250501.htm
2028029,3227173,text,8033,text/html,Introduced,https://legiscan.com/SC/text/H4483/id/3227173,https://www.scstatehouse.gov/sess126_2025-2026/prever/4483_20250501.htm
2028034,3227180,text,9242,text/html,Introduced,https://legiscan.com/SC/text/H4485/id/3227180,https://www.scstatehouse.gov/sess126_2025-2026/prever/4485_20250501.htm
2029187,3230704,text,5980,text/html,Introduced,https://legiscan.com/SC/text/H4486/id/3230704,https://www.scstatehouse.gov/sess126_2025-2026/prever/4486_20250506.htm
2029176,3230693,text,9269,text/html,Introduced,https://legiscan.com/SC/text/H4487/id/3230693,https://www.scstatehouse.gov/sess126_2025-2026/prever/4487_20250506.htm
2029180,3230697,text,7846,text/html,Introduced,https://legiscan.com/SC/text/H4488/id/3230697,https://www.scstatehouse.gov/sess126_2025-2026/prever/4488_20250506.htm
2029169,3230686,text,7965,text/html,Introduced,https://legiscan.com/SC/text/H4489/id/3230686,https://www.scstatehouse.gov/sess126_2025-2026/prever/4489_20250506.htm
2029185,3230702,text,8298,text/html,Introduced,https://legiscan.com/SC/text/H4490/id/3230702,https://www.scstatehouse.gov/sess126_2025-2026/prever/4490_20250506.htm
2029184,3230701,text,8222,text/html,Introduced,https://legiscan.com/SC/text/H4491/id/3230701,https://www.scstatehouse.gov/sess126_2025-2026/prever/4491_20250506.htm
2029167,3230684,text,9478,text/html,Introduced,https://legiscan.com/SC/text/H4492/id/3230684,https://www.scstatehouse.gov/sess126_2025-2026/prever/4492_20250506.htm
2029151,3230668,text,8780,text/html,Introduced,https://legiscan.com/SC/text/H4493/id/3230668,https://www.scstatehouse.gov/sess126_2025-2026/prever/4493_20250506.htm
2029171,3230688,text,7608,text/html,Introduced,https://legiscan.com/SC/text/H4494/id/3230688,https://www.scstatehouse.gov/sess126_2025-2026/prever/4494_20250506.htm
2029188,3230705,text,8092,text/html,Introduced,https://legiscan.com/SC/text/H4495/id/3230705,https://www.scstatehouse.gov/sess126_2025-2026/prever/4495_20250506.htm
2029152,3230669,text,7079,text/html,Introduced,https://legiscan.com/SC/text/H4496/id/3230669,https://www.scstatehouse.gov/sess126_2025-2026/prever/4496_20250506.htm
2029182,3230699,text,8158,text/html,Introduced,https://legiscan.com/SC/text/H4497/id/3230699,https://www.scstatehouse.gov/sess126_2025-2026/prever/4497_20250506.htm
2029186,3230703,text,12283,text/html,Introduced,https://legiscan.com/SC/text/H4498/id/3230703,https://www.scstatehouse.gov/sess126_2025-2026/prever/4498_20250506.htm
2029158,3230675,text,7891,text/html,Introduced,https://legiscan.com/SC/text/H4499/id/3230675,https://www.scstatehouse.gov/sess126_2025-2026/prever/4499_20250506.htm
2029175,3230692,text,7456,text/html,Introduced,https://legiscan.com/SC/text/H4500/id/3230692,https://www.scstatehouse.gov/sess126_2025-2026/prever/4500_20250506.htm
2029165,3230682,text,8435,text/html,Introduced,https://legiscan.com/SC/text/H4501/id/3230682,https://www.scstatehouse.gov/sess126_2025-2026/prever/4501_20250506.htm
2029160,3230677,text,8221,text/html,Introduced,https://legiscan.com/SC/text/H4502/id/3230677,https://www.scstatehouse.gov/sess126_2025-2026/prever/4502_20250506.htm
2029164,3230681,text,7109,text/html,Introduced,https://legiscan.com/SC/text/H4503/id/3230681,https://www.scstatehouse.gov/sess126_2025-2026/prever/4503_20250506.htm
2029166,3230683,text,7736,text/html,Introduced,https://legiscan.com/SC/text/H4504/id/3230683,https://www.scstatehouse.gov/sess126_2025-2026/prever/4504_20250506.htm
