bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2021811,3206000,text,87053,application/pdf,Introduced,https://legiscan.com/CT/text/HB07271/id/3206000,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07271-R00-HB.PDF
2021804,3205724,text,182100,application/pdf,Introduced,https://legiscan.com/CT/text/HB07272/id/3205724,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07272-R00-HB.PDF
2021716,3205660,text,93340,application/pdf,Introduced,https://legiscan.com/CT/text/HB07273/id/3205660,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07273-R00-HB.PDF
2021772,3205702,text,62985,application/pdf,Introduced,https://legiscan.com/CT/text/HB07274/id/3205702,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07274-R00-HB.PDF
2021772,3232290,text,62147,application/pdf,"Comm Sub",https://legiscan.com/CT/text/HB07274/id/3232290,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07274-R01-HB.PDF
2022371,3207324,text,126749,application/pdf,Introduced,https://legiscan.com/CT/text/HB07275/id/3207324,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07275-R00-HB.PDF
2022314,3207266,text,96079,application/pdf,Introduced,https://legiscan.com/CT/text/HB07276/id/3207266,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07276-R00-HB.PDF
2024176,3212650,text,366448,application/pdf,Introduced,https://legiscan.com/CT/text/HB07277/id/3212650,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07277-R00-HB.PDF
2027251,3224505,text,57446,application/pdf,Introduced,https://legiscan.com/CT/text/HB07278/id/3224505,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07278-R00-HB.PDF
2027308,3224564,text,63010,application/pdf,Introduced,https://legiscan.com/CT/text/HB07279/id/3224564,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07279-R00-HB.PDF
2027224,3224477,text,64471,application/pdf,Introduced,https://legiscan.com/CT/text/HB07280/id/3224477,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07280-R00-HB.PDF
2027232,3224486,text,82667,application/pdf,Introduced,https://legiscan.com/CT/text/HB07281/id/3224486,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07281-R00-HB.PDF
2027204,3224457,text,65822,application/pdf,Introduced,https://legiscan.com/CT/text/HB07282/id/3224457,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07282-R00-HB.PDF
2027241,3224495,text,64045,application/pdf,Introduced,https://legiscan.com/CT/text/HB07283/id/3224495,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07283-R00-HB.PDF
2027278,3224532,text,64508,application/pdf,Introduced,https://legiscan.com/CT/text/HB07284/id/3224532,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07284-R00-HB.PDF
2027258,3224513,text,65548,application/pdf,Introduced,https://legiscan.com/CT/text/HB07285/id/3224513,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07285-R00-HB.PDF
2027190,3224442,text,68480,application/pdf,Introduced,https://legiscan.com/CT/text/HB07286/id/3224442,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HB-07286-R00-HB.PDF
1905411,3042314,text,40338,application/pdf,Introduced,https://legiscan.com/CT/text/HR00001/id/3042314,https://www.cga.ct.gov/2025/TOB/H/PDF/2025HR-00001-R00-HB.PDF
